"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00440766","1952-11-01",,,"0.00","0.0","0.0","67","36","61",,,,,,
"USC00440766","1952-11-02",,,"0.00","0.0","0.0","70","33","63",,,,,,
"USC00440766","1952-11-03",,,"0.04","0.0","0.0","70","40","40",,,,,,
"USC00440766","1952-11-04",,,"0.06","0.0","0.0","47","27","43",,,,,,
"USC00440766","1952-11-05",,,"0.00","0.0","0.0","62","25","52",,,,,,
"USC00440766","1952-11-06",,,"0.00","0.0","0.0","59","41","49",,,,,,
"USC00440766","1952-11-07",,,"0.00","0.0","0.0","60","34","37",,,,,,
"USC00440766","1952-11-08",,,"0.00","0.0","0.0","52","24","48",,,,,,
"USC00440766","1952-11-09",,,"0.00","0.0","0.0","64","29","58",,,,,,
"USC00440766","1952-11-10",,,"0.34","0.0","0.0","60","43",,,,,,,
"USC00440766","1952-11-11",,,"0.26","0.0","0.0","45","38","39",,,,,,
"USC00440766","1952-11-12",,,"0.00","0.0","0.0","54","33","45",,,,,,
"USC00440766","1952-11-13",,,"0.00","0.0","0.0","61","24","51",,,,,,
"USC00440766","1952-11-14",,,"0.00","0.0","0.0","60","28","52",,,,,,
"USC00440766","1952-11-15",,,"0.00","0.0","0.0","64","46","56",,,,,,
"USC00440766","1952-11-16",,,"0.00","0.0","0.0","69","37","60",,,,,,
"USC00440766","1952-11-17",,,"0.00","0.0","0.0","69","38","60",,,,,,
"USC00440766","1952-11-18",,,"0.00","0.0","0.0","61","45","51",,,,,,
"USC00440766","1952-11-19",,,"0.36","0.0","0.0","55","47","53",,,,,,
"USC00440766","1952-11-20",,,"1.05","0.0","0.0","55","45","46",,,,,,
"USC00440766","1952-11-21",,,"0.83","0.0","0.0","55","36","42",,,,,,
"USC00440766","1952-11-22",,,"0.23","0.0","0.0","43","32","38",,,,"    1",,
"USC00440766","1952-11-23",,,"0.00","0.0","0.0","53","33","49",,,,,,
"USC00440766","1952-11-24",,,"0.00","0.0","0.0","50","29","47",,,,,,
"USC00440766","1952-11-25",,,"0.00","0.0","0.0","50","39","48",,,,,,
"USC00440766","1952-11-26",,,"0.10","0.0","0.0","59","45","55",,,,,,
"USC00440766","1952-11-27",,,"0.00","0.0","0.0","55","24","31",,,,,,
"USC00440766","1952-11-28",,,"0.00","0.0","0.0","36","19","34",,,,,,
"USC00440766","1952-11-29",,,"0.22","2.0",,"34","25","29",,,,,,
"USC00440766","1952-11-30",,,"0.00","0.0",,,,,,,,,,
"USC00440766","1952-12-01",,,"0.00",,,"37","10","30",,,,,,
"USC00440766","1952-12-02",,,"0.18",,"1.0","33","24","31",,,,,,
"USC00440766","1952-12-03",,,"0.01",,,"45","31","38",,,,,,
"USC00440766","1952-12-04",,,"0.00",,,"39","27","39",,,,,,
"USC00440766","1952-12-05",,,"0.32",,,"44","36","41",,,,,,
"USC00440766","1952-12-06",,,"0.00",,,"52","34","46",,,,,,
"USC00440766","1952-12-07",,,"0.00",,,"60","29","50",,,,,,
"USC00440766","1952-12-08",,,"0.00",,,"60","32","52",,,,,,
"USC00440766","1952-12-09",,,"0.00",,,"68","30","56",,,,,,
"USC00440766","1952-12-10",,,"0.23",,,"61","50","56",,"    1",,,,
"USC00440766","1952-12-11",,,"0.64",,,"56","29","30",,,,,,
"USC00440766","1952-12-12",,,"0.00",,,"45","22","39",,,,,,
"USC00440766","1952-12-13",,,"0.00",,,"39","26","29",,,,,,
"USC00440766","1952-12-14",,,"0.00",,,"30","16","26",,,,,,
"USC00440766","1952-12-15",,,"0.00",,,"28","19","25",,,,,,
"USC00440766","1952-12-16",,,"0.00",,,"45","22","38",,,,,,
"USC00440766","1952-12-17",,,"0.00",,,"56","28","46",,,,,,
"USC00440766","1952-12-18",,,"0.00",,,"54","28","44",,,,,,
"USC00440766","1952-12-19",,,"0.00",,,"50","26","43",,,,,,
"USC00440766","1952-12-20",,,"0.04",,,"44","28","36",,,,,,
"USC00440766","1952-12-21",,,"0.06",,,"45","32","41",,,,,,
"USC00440766","1952-12-22",,,"0.00",,,"46","32","42",,,,,,
"USC00440766","1952-12-23",,,"0.03",,,"44","36","42",,,,,,
"USC00440766","1952-12-24",,,"0.00",,,"52","32","42",,,,,,
"USC00440766","1952-12-25",,,"0.00",,,"52","31","42",,,,,,
"USC00440766","1952-12-26",,,"0.00",,,"45","29","32",,,,,,
"USC00440766","1952-12-27",,,"0.00",,,"41","26","32",,,,,,
"USC00440766","1952-12-28",,,"0.00",,,"32","11","27",,,,,,
"USC00440766","1952-12-29",,,"0.00",,,"48","16","45",,,,,,
"USC00440766","1952-12-30",,,"0.00",,,"47","25","44",,,,,,
"USC00440766","1952-12-31",,,"0.70",,,"44","32","35",,,,,,
"USC00440766","1953-01-01",,,"0.00","0.0","0.0","40","32","39",,,,,,
"USC00440766","1953-01-02",,,"0.10","0.0","0.0","42","27",,,,,,,
"USC00440766","1953-01-03",,,"0.35",,"2.0","36","27","34",,,,,,
"USC00440766","1953-01-04",,,"0.27",,"2.0","34","22","30",,,,,,
"USC00440766","1953-01-05",,,"0.00","0.0","1.0","34","20","31",,,,,,
"USC00440766","1953-01-06",,,"0.08",,"1.0","33","24","33",,,,,,
"USC00440766","1953-01-07",,,"0.00","0.0","0.0","60","32","47","    1",,,,,
"USC00440766","1953-01-08",,,"0.41","0.0","0.0","48","32","35","    1",,,,,
"USC00440766","1953-01-09",,,"0.10","0.0","0.0","42","34","41",,,,,,
"USC00440766","1953-01-10",,,"0.40","0.0","0.0","42","35","39",,,,,,
"USC00440766","1953-01-11",,,"0.02","0.0","0.0","40","30","31",,,,,,"    1"
"USC00440766","1953-01-12",,,"0.01","0.0","0.0","39","25","32",,,,,,
"USC00440766","1953-01-13",,,"0.00","0.0","0.0","53","23","48",,,,,,
"USC00440766","1953-01-14",,,"0.00","0.0","0.0","61","27","50",,,,,,
"USC00440766","1953-01-15",,,"0.00","0.0","0.0","61","27","54","    1",,,,,
"USC00440766","1953-01-16",,,"0.00","0.0","0.0","62","36","53",,,,,,
"USC00440766","1953-01-17",,,"0.01","0.0","0.0","55","34","36",,,,,,
"USC00440766","1953-01-18",,,"0.19","0.0","0.0","54","35","53",,,,,,
"USC00440766","1953-01-19",,,"0.00","0.0","0.0","59","28","53",,,,,,
"USC00440766","1953-01-20",,,"0.00","0.0","0.0","59","32","56",,,,,,
"USC00440766","1953-01-21",,,"0.71","0.0","0.0","57","40","44",,,,,,
"USC00440766","1953-01-22",,,"0.00","0.0","0.0","59","31","50",,,,,,
"USC00440766","1953-01-23",,,"0.00","0.0","0.0","54","37","51",,,,,,
"USC00440766","1953-01-24",,,"0.22","0.0","0.0","55","37","37",,,,,,"    1"
"USC00440766","1953-01-25",,,"0.00","0.0","0.0","38","20","25",,,,,,"    1"
"USC00440766","1953-01-26",,,"0.00","0.0","0.0","45","23","39",,,,,,
"USC00440766","1953-01-27",,,"0.00","0.0","0.0","48","31","45",,,,,,
"USC00440766","1953-01-28",,,,"0.0","0.0","49","36","36",,,,,,
"USC00440766","1953-01-29",,,"0.00","0.0","0.0","40","20","35",,,,,,
"USC00440766","1953-01-30",,,"0.00","0.0","0.0","51","24","44",,,,,,
"USC00440766","1953-01-31",,,"0.00","0.0","0.0","58","37","50",,,,,,
"USC00440766","1953-02-01",,,"0.00",,,"54","41","45",,,,,,
"USC00440766","1953-02-02",,,"0.00",,,"45","22","37",,,,,,
"USC00440766","1953-02-03",,,,,,"56","22","47",,,,,,
"USC00440766","1953-02-04","    2","0.20",,,,"49","31","39",,,,,,
"USC00440766","1953-02-05",,,"0.00",,,"48","18","40",,,,,,
"USC00440766","1953-02-06",,,"0.08",,,"41","31","37",,,,,,
"USC00440766","1953-02-07",,,"0.62",,,"44","35","42",,,,,,
"USC00440766","1953-02-08",,,"0.00",,,"46","32","41",,,,,,
"USC00440766","1953-02-09",,,"0.00",,,"55","32","50",,,,,,
"USC00440766","1953-02-10",,,"0.00",,,"57","33","52",,,,,,
"USC00440766","1953-02-11",,,"0.91",,,"53","33","36",,,,,,
"USC00440766","1953-02-12",,,"0.28",,,"50","33","35",,,,,,
"USC00440766","1953-02-13",,,"0.00",,,"40","31","36",,,,,,
"USC00440766","1953-02-14",,,"0.00",,,"51","19","45",,,,,,
"USC00440766","1953-02-15",,,"1.01",,"1.0","45","31","34",,,,,,
