Epoch [1/200], Step [20/25], disc_loss: 0.2731, gen_loss: 1.6762, D(x): 0.72, D (G(z)): 0.20
Epoch [2/200], Step [20/25], disc_loss: 0.0814, gen_loss: 2.6751, D(x): 0.92, D (G(z)): 0.07
Epoch [3/200], Step [20/25], disc_loss: 0.0371, gen_loss: 3.4302, D(x): 0.97, D (G(z)): 0.04
Epoch [4/200], Step [20/25], disc_loss: 0.0200, gen_loss: 3.9859, D(x): 0.98, D (G(z)): 0.02
Epoch [5/200], Step [20/25], disc_loss: 0.0124, gen_loss: 4.4641, D(x): 0.99, D (G(z)): 0.01
Epoch [6/200], Step [20/25], disc_loss: 0.0087, gen_loss: 4.7721, D(x): 0.99, D (G(z)): 0.01
Epoch [7/200], Step [20/25], disc_loss: 0.0066, gen_loss: 5.0590, D(x): 0.99, D (G(z)): 0.01
Epoch [8/200], Step [20/25], disc_loss: 0.1891, gen_loss: 2.2055, D(x): 0.80, D (G(z)): 0.14
Epoch [9/200], Step [20/25], disc_loss: 0.0316, gen_loss: 3.6035, D(x): 0.97, D (G(z)): 0.04
Epoch [10/200], Step [20/25], disc_loss: 0.2715, gen_loss: 3.6984, D(x): 0.89, D (G(z)): 0.34
Epoch [11/200], Step [20/25], disc_loss: 0.0399, gen_loss: 4.3883, D(x): 0.93, D (G(z)): 0.01
Epoch [12/200], Step [20/25], disc_loss: 1.3552, gen_loss: 1.5659, D(x): 0.08, D (G(z)): 0.04
Epoch [13/200], Step [20/25], disc_loss: 1.1821, gen_loss: 1.9278, D(x): 0.71, D (G(z)): 0.86
Epoch [14/200], Step [20/25], disc_loss: 0.9983, gen_loss: 0.6533, D(x): 0.20, D (G(z)): 0.32
Epoch [15/200], Step [20/25], disc_loss: 0.2752, gen_loss: 2.7058, D(x): 0.66, D (G(z)): 0.13
Epoch [16/200], Step [20/25], disc_loss: 0.4138, gen_loss: 1.1473, D(x): 0.50, D (G(z)): 0.08
Epoch [17/200], Step [20/25], disc_loss: 0.6632, gen_loss: 3.0370, D(x): 0.96, D (G(z)): 0.70
Epoch [18/200], Step [20/25], disc_loss: 0.2741, gen_loss: 2.5622, D(x): 0.92, D (G(z)): 0.36
Epoch [19/200], Step [20/25], disc_loss: 0.1864, gen_loss: 2.8749, D(x): 0.97, D (G(z)): 0.28
Epoch [20/200], Step [20/25], disc_loss: 0.3938, gen_loss: 1.8440, D(x): 0.64, D (G(z)): 0.27
Epoch [21/200], Step [20/25], disc_loss: 0.2441, gen_loss: 1.9857, D(x): 0.86, D (G(z)): 0.28
Epoch [22/200], Step [20/25], disc_loss: 1.1660, gen_loss: 2.3007, D(x): 0.12, D (G(z)): 0.14
Epoch [23/200], Step [20/25], disc_loss: 0.3721, gen_loss: 1.3547, D(x): 0.76, D (G(z)): 0.35
Epoch [24/200], Step [20/25], disc_loss: 0.9028, gen_loss: 1.8266, D(x): 0.27, D (G(z)): 0.39
Epoch [25/200], Step [20/25], disc_loss: 0.8533, gen_loss: 1.1469, D(x): 0.44, D (G(z)): 0.52
Epoch [26/200], Step [20/25], disc_loss: 0.6157, gen_loss: 1.6453, D(x): 0.48, D (G(z)): 0.34
Epoch [27/200], Step [20/25], disc_loss: 0.3718, gen_loss: 2.1939, D(x): 0.60, D (G(z)): 0.17
Epoch [28/200], Step [20/25], disc_loss: 0.5233, gen_loss: 1.3876, D(x): 0.77, D (G(z)): 0.50
Epoch [29/200], Step [20/25], disc_loss: 0.5309, gen_loss: 1.3468, D(x): 0.68, D (G(z)): 0.47
Epoch [30/200], Step [20/25], disc_loss: 0.7688, gen_loss: 1.1427, D(x): 0.39, D (G(z)): 0.44
Epoch [31/200], Step [20/25], disc_loss: 0.7738, gen_loss: 1.4073, D(x): 0.39, D (G(z)): 0.41
Epoch [32/200], Step [20/25], disc_loss: 0.7940, gen_loss: 1.2592, D(x): 0.34, D (G(z)): 0.39
Epoch [33/200], Step [20/25], disc_loss: 0.7673, gen_loss: 1.0178, D(x): 0.38, D (G(z)): 0.41
Epoch [34/200], Step [20/25], disc_loss: 0.3517, gen_loss: 1.4733, D(x): 0.75, D (G(z)): 0.32
Epoch [35/200], Step [20/25], disc_loss: 0.4617, gen_loss: 1.1133, D(x): 0.77, D (G(z)): 0.42
Epoch [36/200], Step [20/25], disc_loss: 0.2963, gen_loss: 1.9158, D(x): 0.75, D (G(z)): 0.26
Epoch [37/200], Step [20/25], disc_loss: 0.4423, gen_loss: 1.1286, D(x): 0.64, D (G(z)): 0.33
Epoch [38/200], Step [20/25], disc_loss: 0.6369, gen_loss: 1.0643, D(x): 0.44, D (G(z)): 0.36
Epoch [39/200], Step [20/25], disc_loss: 0.3754, gen_loss: 1.2848, D(x): 0.71, D (G(z)): 0.33
Epoch [40/200], Step [20/25], disc_loss: 0.4721, gen_loss: 1.3948, D(x): 0.64, D (G(z)): 0.38
Epoch [41/200], Step [20/25], disc_loss: 0.6318, gen_loss: 1.1233, D(x): 0.65, D (G(z)): 0.52
Epoch [42/200], Step [20/25], disc_loss: 0.7619, gen_loss: 1.4602, D(x): 0.38, D (G(z)): 0.41
Epoch [43/200], Step [20/25], disc_loss: 0.5816, gen_loss: 1.2474, D(x): 0.53, D (G(z)): 0.39
Epoch [44/200], Step [20/25], disc_loss: 0.8867, gen_loss: 1.1115, D(x): 0.32, D (G(z)): 0.47
Epoch [45/200], Step [20/25], disc_loss: 0.3524, gen_loss: 1.8176, D(x): 0.95, D (G(z)): 0.48
Epoch [46/200], Step [20/25], disc_loss: 0.4019, gen_loss: 1.6567, D(x): 0.58, D (G(z)): 0.21
Epoch [47/200], Step [20/25], disc_loss: 0.4914, gen_loss: 1.9980, D(x): 0.68, D (G(z)): 0.42
Epoch [48/200], Step [20/25], disc_loss: 0.8994, gen_loss: 1.3926, D(x): 0.27, D (G(z)): 0.38
Epoch [49/200], Step [20/25], disc_loss: 0.7536, gen_loss: 1.6045, D(x): 0.44, D (G(z)): 0.40
Epoch [50/200], Step [20/25], disc_loss: 0.6745, gen_loss: 1.5262, D(x): 0.42, D (G(z)): 0.27
Epoch [51/200], Step [20/25], disc_loss: 0.6976, gen_loss: 1.5299, D(x): 0.66, D (G(z)): 0.62
Epoch [52/200], Step [20/25], disc_loss: 0.1516, gen_loss: 2.4750, D(x): 0.90, D (G(z)): 0.17
Epoch [53/200], Step [20/25], disc_loss: 0.3381, gen_loss: 2.8522, D(x): 0.67, D (G(z)): 0.20
Epoch [54/200], Step [20/25], disc_loss: 0.5343, gen_loss: 1.0201, D(x): 0.49, D (G(z)): 0.27
Epoch [55/200], Step [20/25], disc_loss: 0.2987, gen_loss: 2.0033, D(x): 0.86, D (G(z)): 0.35
Epoch [56/200], Step [20/25], disc_loss: 0.3539, gen_loss: 1.9059, D(x): 0.67, D (G(z)): 0.24
Epoch [57/200], Step [20/25], disc_loss: 0.6400, gen_loss: 1.5406, D(x): 0.47, D (G(z)): 0.35
Epoch [58/200], Step [20/25], disc_loss: 0.4206, gen_loss: 1.9699, D(x): 0.61, D (G(z)): 0.28
Epoch [59/200], Step [20/25], disc_loss: 0.5758, gen_loss: 1.7764, D(x): 0.52, D (G(z)): 0.28
Epoch [60/200], Step [20/25], disc_loss: 0.7647, gen_loss: 1.6969, D(x): 0.34, D (G(z)): 0.32
Epoch [61/200], Step [20/25], disc_loss: 0.4886, gen_loss: 2.1342, D(x): 0.71, D (G(z)): 0.41
Epoch [62/200], Step [20/25], disc_loss: 0.2157, gen_loss: 2.3537, D(x): 0.94, D (G(z)): 0.30
Epoch [63/200], Step [20/25], disc_loss: 0.1778, gen_loss: 2.6688, D(x): 0.88, D (G(z)): 0.20
Epoch [64/200], Step [20/25], disc_loss: 0.7484, gen_loss: 1.6226, D(x): 0.36, D (G(z)): 0.34
Epoch [65/200], Step [20/25], disc_loss: 0.5103, gen_loss: 1.8631, D(x): 0.56, D (G(z)): 0.30
Epoch [66/200], Step [20/25], disc_loss: 0.3574, gen_loss: 1.9597, D(x): 0.66, D (G(z)): 0.20
Epoch [67/200], Step [20/25], disc_loss: 0.7021, gen_loss: 2.1734, D(x): 0.55, D (G(z)): 0.49
Epoch [68/200], Step [20/25], disc_loss: 0.1926, gen_loss: 1.6069, D(x): 0.89, D (G(z)): 0.23
Epoch [69/200], Step [20/25], disc_loss: 0.4636, gen_loss: 2.1838, D(x): 0.96, D (G(z)): 0.56
Epoch [70/200], Step [20/25], disc_loss: 0.6767, gen_loss: 3.3392, D(x): 0.33, D (G(z)): 0.10
Epoch [71/200], Step [20/25], disc_loss: 1.8104, gen_loss: 1.1058, D(x): 0.03, D (G(z)): 0.16
Epoch [72/200], Step [20/25], disc_loss: 0.2696, gen_loss: 2.4896, D(x): 0.82, D (G(z)): 0.27
Epoch [73/200], Step [20/25], disc_loss: 0.2648, gen_loss: 2.4051, D(x): 0.88, D (G(z)): 0.32
Epoch [74/200], Step [20/25], disc_loss: 0.5597, gen_loss: 2.5566, D(x): 0.40, D (G(z)): 0.06
Epoch [75/200], Step [20/25], disc_loss: 0.2586, gen_loss: 2.8927, D(x): 0.91, D (G(z)): 0.30
Epoch [76/200], Step [20/25], disc_loss: 0.2337, gen_loss: 2.1889, D(x): 0.79, D (G(z)): 0.18
Epoch [77/200], Step [20/25], disc_loss: 0.3658, gen_loss: 2.7755, D(x): 0.64, D (G(z)): 0.23
Epoch [78/200], Step [20/25], disc_loss: 0.2299, gen_loss: 3.4922, D(x): 0.88, D (G(z)): 0.27
Epoch [79/200], Step [20/25], disc_loss: 0.1900, gen_loss: 3.8099, D(x): 0.82, D (G(z)): 0.16
Epoch [80/200], Step [20/25], disc_loss: 0.1938, gen_loss: 2.3175, D(x): 0.86, D (G(z)): 0.21
Epoch [81/200], Step [20/25], disc_loss: 0.3224, gen_loss: 3.1302, D(x): 0.97, D (G(z)): 0.43
Epoch [82/200], Step [20/25], disc_loss: 0.3771, gen_loss: 2.5859, D(x): 0.58, D (G(z)): 0.14
Epoch [83/200], Step [20/25], disc_loss: 0.3136, gen_loss: 2.6037, D(x): 0.65, D (G(z)): 0.09
Epoch [84/200], Step [20/25], disc_loss: 0.2056, gen_loss: 2.0649, D(x): 0.85, D (G(z)): 0.20
Epoch [85/200], Step [20/25], disc_loss: 0.2410, gen_loss: 2.7810, D(x): 0.76, D (G(z)): 0.17
Epoch [86/200], Step [20/25], disc_loss: 0.4683, gen_loss: 2.2839, D(x): 0.73, D (G(z)): 0.45
Epoch [87/200], Step [20/25], disc_loss: 0.1818, gen_loss: 4.1763, D(x): 0.90, D (G(z)): 0.21
Epoch [88/200], Step [20/25], disc_loss: 0.7800, gen_loss: 1.7272, D(x): 0.24, D (G(z)): 0.04
Epoch [89/200], Step [20/25], disc_loss: 0.3688, gen_loss: 3.2032, D(x): 0.94, D (G(z)): 0.43
Epoch [90/200], Step [20/25], disc_loss: 0.3537, gen_loss: 1.0953, D(x): 0.58, D (G(z)): 0.05
Epoch [91/200], Step [20/25], disc_loss: 0.0375, gen_loss: 4.3770, D(x): 0.98, D (G(z)): 0.05
Epoch [92/200], Step [20/25], disc_loss: 0.2836, gen_loss: 3.0684, D(x): 0.80, D (G(z)): 0.26
Epoch [93/200], Step [20/25], disc_loss: 0.1471, gen_loss: 2.5278, D(x): 0.91, D (G(z)): 0.17
Epoch [94/200], Step [20/25], disc_loss: 0.2184, gen_loss: 4.2383, D(x): 0.83, D (G(z)): 0.21
Epoch [95/200], Step [20/25], disc_loss: 0.1579, gen_loss: 4.2525, D(x): 0.98, D (G(z)): 0.25
Epoch [96/200], Step [20/25], disc_loss: 0.0906, gen_loss: 3.4210, D(x): 0.96, D (G(z)): 0.13
