Function,Documentation,Signature,Return Type,Example Usage,Library
Text,A run of text with a single style.,"Text(String data, {Key? key, TextStyle? style, ...})",Widget,"Text('Hello, Flutter!')",flutter:widgets
ListView,A scrollable list that works page by page.,"ListView({Key? key, Axis scrollDirection = Axis.vertical, ...})",Widget,"ListView(children: <Widget>[Text('Item 1'), Text('Item 2')])",flutter:widgets
Icon,A graphic representation of material design's iconography.,"Icon(IconData icon, {double? size, Color? color, ...})",Widget,"Icon(Icons.star, color: Colors.red)",flutter:material
RaisedButton,A Material Design raised button.,"RaisedButton({Key? key, @required VoidCallback onPressed, ...})",Widget,"RaisedButton(onPressed: () {}, child: Text('Click Me'))",flutter:material
Container,"A convenience widget that combines common painting, positioning, and sizing widgets.","Container({Key? key, Color? color, Decoration? decoration, ...})",Widget,"Container(color: Colors.blue, child: Text('Inside Container'))",flutter:widgets
FloatingActionButton,A floating action button is a circular material design button.,"FloatingActionButton({Key? key, @required VoidCallback onPressed, ...})",Widget,"FloatingActionButton(onPressed: () {}, child: Icon(Icons.add))",flutter:material
Scaffold,Implements the basic Material Design visual layout structure.,"Scaffold({Key? key, AppBar? appBar, Widget? body, ...})",Widget,"Scaffold(appBar: AppBar(title: Text('My App')), body: Center(child: Text('Hello, world!')))",flutter:material
AppBar,A Material Design app bar.,"AppBar({Key? key, Widget? title, List<Widget>? actions, ...})",Widget,AppBar(title: Text('My App')),flutter:material
Image,A widget that displays an image.,"Image({Key? key, ImageProvider? image, ...})",Widget,Image.asset('assets/flutter.png'),flutter:widgets
FlatButton,A Material Design flat button.,"FlatButton({Key? key, @required VoidCallback onPressed, ...})",Widget,"FlatButton(onPressed: () {}, child: Text('Flat Button'))",flutter:material
Stack,This class is useful if you want to overlap several children in a simple way.,"Stack({Key? key, AlignmentGeometry alignment = AlignmentDirectional.topStart, ...})",Widget,"Stack(children: <Widget>[Text('Bottom'), Text('Top')])",flutter:widgets
GestureDetector,A widget that detects gestures.,"GestureDetector({Key? key, @required VoidCallback onTap, ...})",Widget,"GestureDetector(onTap: () {}, child: Text('Tap Me!'))",flutter:widgets
InkWell,A rectangular area of a Material that responds to touch.,"InkWell({Key? key, @required VoidCallback onTap, ...})",Widget,"InkWell(onTap: () {}, child: Container(height: 50, width: 50, color: Colors.blue))",flutter:material
ClipRRect,A widget that clips its child using a rounded rectangle.,"ClipRRect({Key? key, BorderRadius borderRadius, ...})",Widget,"ClipRRect(borderRadius: BorderRadius.circular(15.0), child: Image.asset('assets/flutter.png'))",flutter:widgets
Padding,A widget that insets its child by the given padding.,"Padding({Key? key, @required EdgeInsetsGeometry padding, Widget? child, ...})",Widget,"Padding(padding: EdgeInsets.all(8.0), child: Text('Padded Text'))",flutter:widgets
Align,Aligns its child within itself and optionally sizes itself based on the child's size.,"Align({Key? key, Alignment alignment = Alignment.center, Widget? child, ...})",Widget,"Align(alignment: Alignment.topRight, child: Text('Aligned Text'))",flutter:widgets
